Universitas,Prodi,Rank,text
universitas negeri jakarta,pendidikan sejarah,999.0,pendidikan sejarah
universitas negeri semarang,pendidikan ekonomi,999.0,pendidikan ekonomi
universitas hasyim asyari tebuireng jombang,pendidikan guru sekolah dasar,999.0,pendidikan guru sekolah dasar
universitas pgri semarang,pendidikan teknologi informasi,999.0,pendidikan teknologi informasi
universitas jambi,pendidikan bahasa inggris,999.0,pendidikan bahasa inggris
universitas islam negeri antasari banjarmasin,tadris bahasa inggris,999.0,tadris bahasa inggris
sekolah tinggi agama islam shalahuddin alayyubi jakarta utara,manajemen pendidikan islam,999.0,manajemen pendidikan islam
institut agama islam negeri madura,manajemen pendidikan islam,999.0,manajemen pendidikan islam
institut agama islam negeri sorong,tadris ilmu pengetahuan alam,999.0,tadris ilmu pengetahuan alam
universitas jabal ghafur,pendidikan bahasa inggris,999.0,pendidikan bahasa inggris
universitas islam negeri sunan gunung djati,pendidikan fisika,999.0,pendidikan fisika
universitas islam negeri walisongo semarang,pendidikan guru madrasah ibtidaiyah,999.0,pendidikan guru madrasah ibtidaiyah
sekolah tinggi agama kristen bina muda wirawan wonogiri,pendidikan agama kristen,999.0,pendidikan agama kristen
universitas alamien prenduan,pendidikan bahasa arab,999.0,pendidikan bahasa arab
institut agama islam tasikmalaya,bimbingan dan konseling pendidikan islam,999.0,bimbingan dan konseling pendidikan islam
sekolah tinggi katolik santo yakobus merauke,pendidikan guru sekolah dasar,999.0,pendidikan guru sekolah dasar
sekolah tinggi agama kristen sabda holistik,pendidikan agama kristen,999.0,pendidikan agama kristen
universitas nusa cendana,fisika,999.0,fisika
universitas nusa nipa,kewirausahaan,999.0,kewirausahaan
universitas satu,manajemen,999.0,manajemen
universitas siliwangi,manajemen,999.0,manajemen
universitas lampung,ekonomi pembangunan,999.0,ekonomi pembangunan
universitas balikpapan,manajemen,999.0,manajemen
universitas nias,manajemen,999.0,manajemen
sekolah tinggi ilmu ekonomi lpi makassar,akuntansi,999.0,akuntansi
politeknik negeri tanah laut,akuntansi perpajakan,999.0,akuntansi perpajakan
universitas jember,ekonomi syariah,999.0,ekonomi syariah
universitas tridinanti,manajemen,999.0,manajemen
universitas doktor husni ingratubun tual,akuntansi,999.0,akuntansi
sekolah tinggi ekonomi dan bisnis islam syaikhona kholil sidogiri pasuruan,ekonomi syariah,999.0,ekonomi syariah
universitas riau,keperawatan,999.0,keperawatan
