Universitas,Prodi,Jenjang,Status
"POLITEKNIK KESEHATAN AISYIYAH BANTEN, SERANG",KEBIDANAN,D-III,04
"UNIVERSITAS PANCASILA, JAKARTA",FARMASI,D-III,03
Universitas Persada Bunda Indonesia,Sistem Informasi,S1,17
Universitas Persada Bunda Indonesia,Ilmu Komputer,S1,17
Universitas Persada Bunda Indonesia,Rekayasa Perangkat Lunak,S1,17
Universitas Bina Nusantara,Sistem Informasi (kampus Kota Medan),S1,03
Universitas Aisyiyah Palembang,Teknologi Informasi,S1,02
Universitas Bina Nusantara,Informatika (kampus Kota Medan),S1,03
Universitas Indonesia Membangun,Manajemen,S1,04
Universitas PGRI Palembang,Fisika,S1,02
Universitas Islam Negeri Sulthan Thaha Saifuddin Jambi,Kimia,S1,PTAN
Universitas Negeri Surabaya,Bioteknologi,S1,PTN
Universitas Kristen Maranatha,Bioteknologi,S1,04
Universitas HKBP Nommensen,Agribisnis,S1,01
"UNIVERSITAS INTERNASIONAL BATAM, BATAM",GIZI,S1,17
Universitas Gadjah Mada,Magister Kimia,S2,PTN
Universitas Gadjah Mada,Doktor Kimia,S3,PTN
Universitas Gadjah Mada,Doktor Fisika,S3,PTN
Institut Teknologi Bandung,Fisika,S2,PTN
Universitas Islam Jember,Bimbingan Dan Konseling,S1,07
Institut Agama Islam Negeri Metro,Tadris Ilmu Pengetahuan Sosial,S1,PTAN
Universitas Pendidikan Indonesia,Pendidikan Guru,S2,PTN
Universitas Islam Sultan Agung,Pendidikan Bahasa Indonesia,S2,06
Universitas Mataram,Pendidikan Biologi,S2,PTN
Institut Keguruan Dan Ilmu Pendidikan PGRI Bojonegoro,Pendidikan Teknologi Informasi,S1,07
"POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN BANTEN, BANTEN",KEBIDANAN (KAMPUS RANGKASBITUNG),D-III,PTKL
"UNIVERSITAS ANDI SUDIRMAN, BONE",ADMINISTRASI KESEHATAN,S1,09
STMIK PGRI Tangerang,Sistem Informasi,S1,04
Universitas Surabaya,Informatika,S2,07
Institut Teknologi Dan Sains Mandala,Rekayasa Perangkat Lunak,S1,07
Institut Teknologi Dan Sains Mandala,Sistem Dan Teknologi Informasi,S1,07
Universitas Karya Husada Semarang,Informatika,S1,06
Politeknik Mardira Indonesia,Teknologi Rekayasa Perangkat Lunak,D-IV,04
Universitas Sains Dan Teknologi Indonesia,Informatika Medis,S1,17
Universitas Indraprasta PGRI,Sistem Informasi,S1,03
Institut Teknologi Indonesia,Teknik Informatika,S1,03
Universitas Bina Sarana Informatika,Sistem Informasi Kampus Kota Bogor,D-III,03
Universitas Ichsan Satya,Informatika,S1,04
Universitas Ichsan Satya,Sistem Informasi,S1,04
Institut Teknologi Dan Bisnis Muhammadiyah Grobogan,Sains Data,S1,06
Politeknik Mardira Indonesia,Teknologi Rekayasa Multimedia,D-IV,04
Universitas Bhinneka Nusantara,Informatika,S1,07
Politeknik Malinau,Manajemen Informatika,D-IV,11
Institut Teknologi Dan Bisnis Swadharma,Sains Data,S1,03
Universitas La Tansa Mashiro,Informatika,S1,04
Politeknik Gajah Tunggal,Teknologi Informasi,D-III,04
Universitas Faletehan,Informatika,S1,04
Universitas Gunadarma,Informatika (Kampus Kabupaten Penajam Paser Utara),S1,03
Universitas Gunadarma,Sistem Informasi (Kampus Kabupaten Penajam Paser Utara),S1,03
Universitas PGRI Mpu Sindok,Teknologi Informasi,S1,07
"UNIVERSITAS BINA BANGSA, SERANG",KEBIDANAN,S1,04
"UNIVERSITAS BINA BANGSA, SERANG",BIDAN,Profesi,04
Universitas Bima Sakapenta,Teknik Mekatronika,S1,06
Universitas Bima Sakapenta,Teknik Sipil,S1,06
Universitas Gadjah Mada,Doktor Ilmu Geografi,S3,PTN
Universitas Gadjah Mada,Magister Penginderaan Jauh,S2,PTN
"AKADEMI KEBIDANAN WIJAYA KUSUMA MALANG, TERNATE",KEBIDANAN,D-III,12
"POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN MAKASSAR, MAKASSAR",GIZI,D-III,PTKL
Institut Teknologi Sosial Dan Kesehatan Muhammadiyah Selong,Bisnis Digital,S1,08
Universitas Malahayati,Akuntansi,S1,02
Universitas Kristen Indonesia Maluku,Manajemen,S1,12
Universitas Kristen Indonesia Maluku,Ekonomi Pembangunan,S1,12
Universitas Gorontalo,Akuntansi,S1,16
Universitas Widya Kartika,Akuntansi,S1,07
Institut Pertanian Bogor,Ekonomi Sumberdaya Dan Lingkungan,S2,PTN
Institut Teknologi Dan Sains Muhammadiyah Kolaka Utara,Kewirausahaan,S1,09
Universitas Duta Bangsa Surakarta,Akuntansi,S1,06
Sekolah Tinggi Ilmu Ekonomi Pangeran Antasari,Akuntansi,S1,01
Universitas Islam Balitar,Perbankan Syariah,S1,07
Universitas Mitra Indonesia,Manajemen,S2,02
Universitas Pamulang,Manajemen,S1,04
Politeknik Negeri Medan,Akuntansi,D-III,PTN
Universitas Prima Indonesia,Akuntansi,S1,01
Universitas Jambi,Keuangan Daerah,D-IV,PTN
Universitas Wiraraja,Akuntansi,S1,07
Sekolah Tinggi Ilmu Ekonomi Trisna Negara,Manajemen,S1,02
Sekolah Tinggi Ilmu Ekonomi Syariah Bengkalis,Manajemen Keuangan Syariah,S1,PTAS
Akademi Sekretari Dan Manajemen Insulindo,Manajemen Perusahaan,D-III,04
Universitas Serang Raya,Ekonomi Syariah,S1,04
Politeknik LP3I Jakarta,Bisnis Digital,D-IV,03
Universitas Andalas,Matematika,S2,PTN
Universitas Mataram,Biologi,S2,PTN
Universitas Muhammadiyah Palopo,Ilmu Kelautan,S1,09
Universitas Islam Negeri Maulana Malik Ibrahim,Matematika,S1,PTAN
Universitas Islam Negeri Maulana Malik Ibrahim,Kimia,S1,PTAN
"UNIVERSITAS INDONESIA TIMUR, MAKASSAR",FARMASI,S1,09
Universitas Negeri Surabaya,Teknik Mesin,S2,PTN
Universitas Negeri Surabaya,Teknik Sipil,S2,PTN
Universitas Diponegoro,Fisika,S2,PTN
Universitas Cenderawasih,Kimia,S1,PTN
Universitas Jenderal Soedirman,Fisika,S1,PTN
Universitas Lampung,Matematika,S1,PTN
Universitas Samudra,Matematika,S1,PTN
Universitas Samudra,Kimia,S1,PTN
Universitas Nahdlatul Ulama Blitar,Fisika,S1,07
Universitas Islam Negeri Raden Intan Lampung,Biologi,S1,PTAN
ASM Marsudirini Santa Maria,Hubungan Masyarakat,D-III,05
Universitas Udayana,Pariwisata,S3,PTN
Universitas Islam Negeri Sunan Kalijaga,Ilmu Hukum,S1,PTAN
Universitas Sam Ratulangi,Ilmu Perairan,S2,PTN
Universitas Syiah Kuala,Ilmu Hukum,S1,PTN
Sekolah Tinggi Teologi Gereja Pentakosta Di Indonesia Pematang Siantar,Teologi Kependetaan,S1,PTAS
Universitas Islam Al-Aziziyah Indonesia,Komunikasi Dan Penyiaran Islam,S1,PTAS
Universitas Medan Area,Arsitektur,S1,01
Universitas Islam Sumatera Utara,Ilmu Hukum,S1,01
Universitas Negeri Medan,Arsitektur,S1,PTN
Universitas Mahendradatta,Ilmu Administrasi Negara,S1,08
Sekolah Tinggi Pariwisata Ampta Yogyakarta,Usaha Perjalanan Wisata,D-IV,05
Universitas Mataram,Ilmu Tanah,S1,PTN
Politeknik Negeri Bengkalis,Teknik Pengelasan Dan Fabrikasi,D-II,PTN
Institut Pertanian Bogor,Sains Agribisnis,S3,PTN
Universitas Tribuana Kalabahi,Ilmu Hukum,S1,15
Universitas Banda Naira,Sosial Ekonomi Perikanan,S1,12
Universitas Persatuan Guru 1945 NTT,Ilmu Hukum,S1,15
Sekolah Tinggi Teologi Sehati Malinau Provinsi Kalimantan Utara,Teologi,S1,PTAS
Universitas Islam Makassar,Pendidikan Teknologi Informasi,S1,09
"INSTITUT TEKNOLOGI KESEHATAN CENDEKIA UTAMA KUDUS, KUDUS",FARMASI,S1,06
"INSTITUT TEKNOLOGI KESEHATAN CENDEKIA UTAMA KUDUS, KUDUS",APOTEKER,Profesi,06
Universitas Mandiri,Sistem Informasi,S1,04
Institut Teknologi Dan Pendidikan Markandeya Bali,Sistem Informasi,S1,08
"INSTITUT ILMU KESEHATAN BHAKTI WIYATA KEDIRI, KEDIRI",FISIOTERAPI,S1,07
"SEKOLAH TINGGI ILMU KESEHATAN AN NUR HUSADA LAMPUNG UTARA, LAMPUNG UTARA",ADMINISTRASI RUMAH SAKIT,S1,02
"SEKOLAH TINGGI ILMU KESEHATAN BHAKTI HUSADA MULIA, MADIUN",KEBIDANAN,S1,07
"SEKOLAH TINGGI ILMU KESEHATAN BHAKTI HUSADA MULIA, MADIUN",APOTEKER,Profesi,07
"SEKOLAH TINGGI ILMU KESEHATAN BHAKTI HUSADA MULIA, MADIUN",BIDAN,Profesi,07
"SEKOLAH TINGGI ILMU KESEHATAN TANAWALI TAKALAR, TAKALAR",KEPERAWATAN,S2,09
"UNIVERSITAS ISLAM MALANG, MALANG",ADMINISTRASI RUMAH SAKIT,S1,07
"UNIVERSITAS KEPANJEN, MALANG",KESELAMATAN DAN KESEHATAN KERJA,S1,07
"UNIVERSITAS KRISTEN PETRA, SURABAYA",DOKTER GIGI,Profesi,07
"UNIVERSITAS KRISTEN PETRA, SURABAYA",DOKTER,Profesi,07
"UNIVERSITAS KRISTEN PETRA, SURABAYA",KEDOKTERAN GIGI,S1,07
"UNIVERSITAS MANDALA WALUYA, KENDARI",APOTEKER,Profesi,09
"UNIVERSITAS MUHAMMADIYAH METRO, METRO",DOKTER,Profesi,02
"UNIVERSITAS NEGERI YOGYAKARTA, YOGYAKARTA",KEDOKTERAN,S1,PTN
Universitas Insan Cendekia Mandiri,Teknologi Kimia Tekstil,D-III,04
Universitas Gadjah Mada,Doktor Matematika,S3,PTN
Universitas Sebelas Maret,Ilmu Fisika,S2,PTN
Institut Teknologi Sepuluh Nopember,Rekayasa Keselamatan Proses,S1,PTN
Universitas Lambung Mangkurat,Kimia,S2,PTN
Universitas Halu Oleo,Statistika,D3,PTN
Institut Pertanian Bogor,Mikrobiologi,S2,PTN
"UNIVERSITAS ESA UNGGUL, JAKARTA",ILMU KEPERAWATAN,S1,03
"UNIVERSITAS ESA UNGGUL, JAKARTA",NERS,Profesi,03
Politeknik Negeri Lampung,Teknologi Rekayasa Otomotif,D-IV,PTN
Universitas Islam Negeri Sultan Syarif Kasim Riau,Matematika,S1,PTAN
Universitas Islam Syarifuddin Lumajang,Akuntansi Syari`ah,S1,PTAS
Politeknik Hasan Abdi,Kebijakan Dan Manajemen Pajak,D-IV,01
Akademi Bisnis Lombok,Akuntansi Sektor Publik,D-IV,08
Akademi Bisnis Lombok,Bisnis Digital,D-IV,08
Institut Agama Islam Negeri Bone,Manajemen Bisnis Syariah,S1,PTAN
Universitas Buana Perjuangan Karawang,Manajemen,S2,04
Universitas Aisyiyah Palembang,Manajemen,S1,02
Universitas Pahlawan Tuanku Tambusai,Manajemen Bisnis Internasional,S1,17
Universitas Muhammadiyah Tapanuli Selatan,Ekonomi Syariah,S1,01
Universitas Kepanjen,Bisnis Digital,S1,07
Universitas Kepanjen,Kewirausahaan,S1,07
Sekolah Tinggi Ilmu Komunikasi Almamater Wartawan Surabaya,Bisnis Digital,S1,07
Universitas Telkom,Bisnis Digital,S1,04
Universitas Pendidikan Nasional,Pengelolaan Konvensi Dan Acara,D-IV,08
Universitas Surabaya,Ekonomi,S2,07
Institut Agama Islam Miftahul Ulum Tanjung Pinang,Manajemen Bisnis Syariah,S1,PTAS
Universitas Bhakti Pertiwi Indonesia,Bisnis Digital,S1,03
Universitas Dharma Indonesia,Bisnis Digital,S1,04
Universitas Dharma Indonesia,Manajemen,S1,04
Universitas Abdurrab,Bisnis Digital,S1,17
Universitas Tribhuwana Tungga Dewi,Manajemen,S2,07
Sekolah Tinggi Agama Islam Kuningan,Manajemen Bisnis Syariah,S1,PTAS
Universitas Merangin,Bisnis Digital,S1,10
Universitas Islam Bandung,Statistika,S1,04
"UNIVERSITAS NEGERI SEMARANG, SEMARANG",DOKTER,Profesi,PTN
"UNIVERSITAS NEGERI SEMARANG, SEMARANG",KEDOKTERAN,S1,PTN
Institut Teknologi Kalimantan,Manajemen Teknologi,S2,PTN
Universitas Negeri Medan,Matematika,S1,PTN
Universitas Jambi,Agrobisnis,D-III,PTN
Universitas Islam Negeri Sultan Maulana Hasanuddin Banten,Hukum Eknomi Syariah (Muamalah),S1,PTAN
Sekolah Tinggi Teologi Imanuel Ministry El Shadday,Teologi (Akademik),S1,PTAS
Institut Agama Islam Nahdlatul Ulama Sumatera Selatan,Komunikasi Dan Penyiaran Islam,S1,PTAS
Universitas Jayabaya,Ilmu Hukum,S1,03
Universitas Muhammadiyah Bandung,Administrasi Publik,S1,04
Universitas Islam Sumatera Utara,Sastra Inggris,S1,01
Universitas Negeri Semarang,Hukum,S3,PTN
Universitas Islam Negeri Imam Bonjol Padang,Aqidah Dan Filsafat Islam,S1,PTAN
Institut Agama Hindu Negeri Tampung Penyang Palangka Raya,Hukum Adat,S1,PTAN
Universitas Islam Negeri Sultan Maulana Hasanuddin Banten,Hukum Keluarga Islam (Ahwal Syaksiyah),S1,PTAN
Universitas Simalungun,Perencanaan Wilayah Dan Kota,S2,01
Sekolah Tinggi Ilmu Administrasi Satya Negara,Administrasi Publik,S1,02
Universitas Lancang Kuning,Sastra Inggris,S1,17
Universitas Khairun,Teknologi Hasil Pertanian,S1,PTN
Universitas Nias,Sumber Daya Akuatik,S1,01
Universitas Nias,Agroteknologi,S1,01
Universitas Mataram,Pengelolaan Sumberdaya Alam Dan Lingkungan,S2,PTN
Universitas Borneo Lestari,Hukum,S1,11
Universitas Serasan,Ilmu Hukum,S1,02
Universitas Simalungun,Agroteknologi,S1,01
Institut Agama Islam Kotamobagu,Manajemen Dakwah,S1,PTAS
Universitas Syiah Kuala,Manajemen Agribisnis,D-III,PTN
Universitas Jambi,Kehutanan,S1,PTN
Universitas Islam Negeri Raden Fatah Palembang,Studi Islam,S2,PTAN
Universitas Brawijaya,Kenotariatan Kampus Jakarta,S2,PTN
Universitas Islam Al-azhar,Agroekoteknologi,S1,08
Universitas Pembangunan Nasional Veteran Jakarta,Ilmu Komunikasi,S2,PTN
Universitas Nahdlatul Ulama Kalimantan Barat,Teknologi Hasil Perikanan,S1,11
Sekolah Tinggi Pertanian Flores Bajawa,Peternakan,S1,15
Sekolah Tinggi Pertanian Flores Bajawa,Agroteknologi,S1,15
Universitas Islam Negeri Sulthan Thaha Saifuddin Jambi,Ilmu Pemerintahan,S1,PTAN
Sekolah Tinggi Teologi Amadeus Surabaya,Teologi,S1,PTAS
Universitas PGRI Palembang,Budi Daya Ikan,D-III,02
Akademi Pariwisata Dharma Nusantara Sakti,Perhotelan,D-III,05
Universitas Padjadjaran,Bahasa Dan Budaya Tiongkok,D-IV,PTN
Universitas Satyagama,Ilmu Pemerintahan,S1,03
Universitas Nahdlatul Ulama Sulawesi Tenggara,Ilmu Komunikasi,S1,09
Universitas Negeri Gorontalo,Budidaya Perairan,S1,PTN
Institut Teknologi Sumatera,Rekayasa Instrumentasi Dan Automasi,S1,PTN
Universitas Muhammadiyah Semarang,Ilmu Keolahragaan,S1,06
Institut Agama Islam Negeri Kudus,Pemikiran Politik Islam,S1,PTAN
Politeknik Kreatif Indonesia,Desain Mode,D-IV,03
Universitas Negeri Padang,Tata Busana,D-III,PTN
Universitas Kartamulia Purwakarta,Ilmu Keolahragaan,S1,04
Universitas Djuanda,Sains Komunikasi,S1,04
Universitas Buddhi Dharma,Bahasa Inggris,D-III,04
Politeknik Negeri Bengkalis,Administrasi Jaringan Komputer,D-II,PTN
Akademi Pariwisata Stipary,Pelayanan Makanan Dan Minuman,D-I,05
Institut Agama Islam Negeri Kendari,Pendidikan Agama Islam,S3,PTAN
Universitas Dehasen Bengkulu,Pendidikan Profesi Guru,Profesi,02
Universitas Muhammadiyah Purwokerto,Pendidikan Matematika,S2,06
Universitas Muhammadiyah Ponorogo,Pendidikan Profesi Guru,Profesi,07
Sekolah Tinggi Keguruan Dan Ilmu Pendidikan PGRI Bandar Lampung,Pendidikan Profesi Guru,Profesi,02
Universitas Muhammadiyah Sukabumi,Pendidikan Profesi Guru,Profesi,04
Universitas Muhammadiyah Sidoarjo,Pendidikan Profesi Guru,Profesi,07
Institut Jam`Iyah Mahmudiyah Langkat,Manajemen Pendidikan Islam,S1,PTAS
Institut Jam`Iyah Mahmudiyah Langkat,Pendidikan Guru Madrasah Ibtidaiyah,S1,PTAS
Universitas Islam Cirebon,Manajemen Pendidikan Islam,S1,PTAS
Universitas Islam Cirebon,Pendidikan Agama Islam,S1,PTAS
Universitas Islam Negeri Imam Bonjol Padang,Pendidikan Bahasa Arab,S2,PTAN
Universitas Negeri Gorontalo,Pancasila Dan Kewarganegaraan,S1,PTN
Universitas Halu Oleo,Pendidikan Bahasa Dan Sastra Indonesia,S2,PTN
Universitas Indonesia Timur,Pendidikan Agama Islam,S1,09
Universitas PGRI Wiranegara,Pendidikan Ekonomi,S1,07
,,S1,PTAN
Sekolah Tinggi Agama Islam Al Masthuriyah Sukabumi,Pendidikan Agama Islam,S1,PTAS
Universitas Gresik,Administrasi Pendidikan,S1,07
Sekolah Tinggi Teologi Berea Ansang,Pendidikan Agama Kristen,S1,PTAS
Universitas Islam Negeri Kiai Haji Achmad Siddiq Jember,Manajemen Pendidikan Islam,S2,PTAN
Universitas Lampung,Bimbingan Dan Konseling,S1,PTN
IAIN Sultan Amai Gorontalo,Manajemen Pendidikan Islam,S1,PTAN
IAIN Sultan Amai Gorontalo,Pendidikan Agama Islam,S1,PTAN
Sekolah Tinggi Agama Islam Tgk. Chik Pante Kulu Kota Banda Aceh,Pendidikan Agama Islam,S1,PTAS
Sekolah Tinggi Kateketik Pastoral Katolik Bina Insan Bina Insan Keuskupan Agung Samarinda,Pendidikan Keagamaan Katolik,S1,PTAS
Universitas Halu Oleo,Pendidikan IPA,S2,PTN
Universitas Ivet,Pendidikan Guru Pendidikan Anak Usia Dini,S1,06
Sekolah Tinggi Teologi SAPPI Ciranjang,Pendidikan Agama Kristen,S1,
Universitas Khairun,Pendidikan Ilmu Pengetahuan Sosial,S2,PTN
Institut Ilmu Al Qur'an An-Nur Yogyakarta,Pendidikan Agama Islam,S2,PTAS
Universitas Khairun,Pendidikan Ilmu Pengetahuan Alam,S2,PTN
Universitas Islam Negeri Antasari Banjarmasin,Pendidikan Bahasa Inggris,S2,PTAN
Universitas Muhammadiyah Pare-pare,Pedagogi,S2,09
Universitas Buana Perjuangan Karawang,Pendidikan Profesi Guru,Profesi,04
Universitas Pasir Pengaraian,Pedagogi,S2,10
Universitas Darul Ulum Islamic Centre Sudirman,Pendidikan Agama Islam,S2,06
Universitas Khairun,Pendidikan Ilmu Pengetahuan Alam,S1,PTN
Universitas Tunas Pembangunan Surakarta,Pendidikan Profesi Guru,Profesi,06
Universitas Muhammadiyah Enrekang,Pendidikan Dasar,S2,09
Universitas Muhammadiyah Kendari,Pendidikan Matematika,S1,09
Sekolah Tinggi Keguruan Dan Ilmu Pendidikan Agama Hindu Amlapura,Pendidikan Agama Hindu,S2,08
Institut Keguruan Dan Ilmu Pendidikan PGRI Wates,Pendidikan Profesi Guru,Profesi,05
Universitas Negeri Padang,Pendidikan Vokasional Desain Fashion,S1,PTN
Universitas Negeri Padang,Pendidikan Vokasional Seni Kuliner,S1,PTN
Universitas Negeri Semarang,Pendidikan Vokasi,S3,PTN
Universitas Islam Aceh,Pendidikan Agama Islam,S2,PTAS
Universitas Islam Aceh,Pendidikan Agama Islam,S1,PTAS
Institut Binamadani Indonesia,Pendidikan Agama Islam,S1,PTAS
Institut Binamadani Indonesia,Pendidikan Guru Madrasah Ibtidaiyah,S1,PTAS
Institut Binamadani Indonesia,Pendidikan Agama Islam,S2,PTAS
Universitas Islam Darud Da`wah Wal-Irsyad A.G.H. Abdurrahman Ambo Dalle,Pendidikan Agama Islam,S1,PTAS
Universitas Islam Darud Da`wah Wal-Irsyad A.G.H. Abdurrahman Ambo Dalle,Bimbingan Dan Konseling Pendidikan Islam,S1,PTAS
Universitas Negeri Jakarta,Pendidikan Masyarakat,S1,PTN
Universitas Negeri Jakarta,Pendidikan Khusus,S1,PTN
Universitas Kristen Indonesia Toraja,Pendidikan Bahasa Indonesia,S2,09
Sekolah Tinggi Pastoral Kateketik Santo Fransiskus Asisi Semarang,Pendidikan Profesi Guru Pendidikan Agama Katolik,Profesi,PTAS
"POLITEKNIK AL-ISLAM BANDUNG, BANDUNG",RADIODIAGNOSTIK DAN RADIOTERAPI,D-III,04
"POLITEKNIK AL-ISLAM BANDUNG, BANDUNG",ADMINISTRASI RUMAH SAKIT,D-III,04
"POLITEKNIK AL-ISLAM BANDUNG, BANDUNG",TERAPI WICARA,D-III,04
"POLITEKNIK HANG TUAH JAKARTA, JAKARTA",FARMASI,D-III,03
"POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN BANTEN, BANTEN",KEPERAWATAN,D-III,PTKL
"POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN KUPANG, KUPANG",NERS,Profesi,PTKL
"POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN KUPANG, KUPANG",KEPERAWATAN,D-IV,PTKL
"POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN TANJUNG KARANG, TANJUNG KARANG",FARMASI,D-III,PTKL
"POLITEKNIK SANTO PAULUS SURAKARTA, SURAKARTA",TEKNOLOGI LABORATORIUM MEDIS,D-IV,06
"SEKOLAH TINGGI FARMASI INDONESIA, BANDUNG",FARMASI,S1,04
"SEKOLAH TINGGI FARMASI INDONESIA, BANDUNG",APOTEKER,Profesi,04
"SEKOLAH TINGGI ILMU KESEHATAN AL-SU'AIBAH, PALEMBANG",KEBIDANAN,S1,02
"SEKOLAH TINGGI ILMU KESEHATAN AL-SU'AIBAH, PALEMBANG",BIDAN,Profesi,02
"SEKOLAH TINGGI ILMU KESEHATAN SISMADI, BOGOR",ILMU KEPERAWATAN,S1,04
"UNIVERSITAS 17 AGUSTUS 1945 JAKARTA, JAKARTA",FARMASI,S2,03
"UNIVERSITAS ABDURRAB, PEKANBARU",DOKTER,Profesi,17
"UNIVERSITAS ABDURRAB, PEKANBARU",KEDOKTERAN,S1,17
"UNIVERSITAS AWAL BROS, PEKANBARU",FISIOTERAPI,S1,10
"UNIVERSITAS DIAN NUSWANTORO, SEMARANG",KESEHATAN MASYARAKAT,S1,06
"UNIVERSITAS GADJAH MADA, YOGYAKARTA",KESELAMATAN DAN KESEHATAN KERJA,-,PTN
"UNIVERSITAS HASANUDDIN, MAKASSAR",ILMU KEDOKTERAN GIGI,S3,PTN
"UNIVERSITAS HKBP NOMMENSEN, MEDAN",PENDIDIKAN DOKTER,S1,01
"UNIVERSITAS HKBP NOMMENSEN, MEDAN",DOKTER,Profesi,01
"UNIVERSITAS KATOLIK SANTO AGUSTINUS HIPPO, LANDAK",KEPERAWATAN (KAMPUS KOTA PONTIANAK),D-III,11
"UNIVERSITAS KATOLIK SANTO AGUSTINUS HIPPO, LANDAK",KEBIDANAN (KAMPUS KOTA PONTIANAK),D-III,11
"UNIVERSITAS MUHAMMADIYAH JEMBER, JEMBER",ILMU KEPERAWATAN,S1,07
"UNIVERSITAS MUHAMMADIYAH JEMBER, JEMBER",NERS,Profesi,07
"UNIVERSITAS MUHAMMADIYAH SIDOARJO, SIDOARJO",MANAJEMEN INFORMASI KESEHATAN,D-IV,07
"UNIVERSITAS MUHAMMADIYAH TANGERANG, TANGERANG",KEBIDANAN,S1,04
"UNIVERSITAS MUHAMMADIYAH TANGERANG, TANGERANG",BIDAN,Profesi,04
Institut Teknologi Dan Bisnis Muhammadiyah Grobogan,Sistem Informasi,S1,07
"UNIVERSITAS PEMBANGUNAN INDONESIA, MANADO",NERS,Profesi,16
"UNIVERSITAS PEMBANGUNAN INDONESIA, MANADO",KEPERAWATAN,S1,16
"UNIVERSITAS RESPATI YOGYAKARTA, YOGYAKARTA",KESEHATAN MASYARAKAT,S2,05
Universitas Asa Indonesia,Teknologi Informasi,S1,03
Universitas Awal Bros,Informatika,S1,17
Universitas Al-Muslim,Informatika,S1,13
Universitas Saintek Muhammadiyah,Teknik Informatika,S1,03
Universitas Handayani Makassar,Sistem Informasi,S1,09
Universitas Saintek Muhammadiyah,Sistem Informasi,S1,03
STMIK AKI Pati,Sistem Informasi,S1,06
Politeknik Prasetiya Mandiri,Teknik Komputer,D-III,04
Universitas IBBI,Sistem Informasi,S1,01
Politeknik Bombana,Teknologi Rekayasa Kimia Industri,D-IV,09
Politeknik Bombana,Teknologi Rekayasa Konstruksi Bangunan Gedung,D-IV,09
Sekolah Tinggi Teknik Iskandar Thani,Teknik Sipil,S1,13
Sekolah Tinggi Manajemen Asuransi Trisakti,Asuransi Jiwa,D3,03
Universitas Islam Cirebon,Pendidikan Islam Anak Usia Dini,S1,PTAS
Sekolah Tinggi Agama Islam Negeri Majene,Pendidikan Agama Islam,S2,PTAN
Sekolah Tinggi Agama Islam Negeri Majene,Pendidikan Guru Madrasah Ibtidaiyah,S1,PTAN
Institut Darul Qur'an Payakumbuh,Pendidikan Agama Islam,S1,PTAS
"INSTITUT KESEHATAN DAN TEKNOLOGI BUTON RAYA, BAUBAU",KEBIDANAN,D-III,09
"POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN ACEH, BANDA ACEH",KEBIDANAN (KAMPUS KAB ACEH UTARA),D-III,PTKL
"POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN KALIMANTAN TIMUR, SAMARINDA",KEPERAWATAN,D-IV,PTKL
"POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN KALIMANTAN TIMUR, SAMARINDA",NERS,Profesi,PTKL
"POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN SEMARANG, SEMARANG",KEPERAWATAN (KAMPUS MAGELANG),D-IV,PTKL
"SEKOLAH TINGGI ILMU KESEHATAN KESEHATAN BARU, HUMBANG HASUNDUTAN",KEBIDANAN,D-III,01
"UNIVERSITAS IBRAHIMY, SITUBONDO",FARMASI,S1,07
"UNIVERSITAS ISLAM MALANG, MALANG",FARMASI,S1,07
"UNIVERSITAS LAMPUNG, BANDAR LAMPUNG",DOKTER,Profesi,PTN
"UNIVERSITAS LAMPUNG, BANDAR LAMPUNG",KEDOKTERAN,S1,PTN
"UNIVERSITAS MUHAMMADIYAH KALIMANTAN TIMUR, SAMARINDA",KEPERAWATAN,S1,11
"UNIVERSITAS MUHAMMADIYAH KALIMANTAN TIMUR, SAMARINDA",KESEHATAN MASYARAKAT,S1,11
"UNIVERSITAS MUHAMMADIYAH KALIMANTAN TIMUR, SAMARINDA",NERS,Profesi,11
"UNIVERSITAS MUHAMMADIYAH KUDUS, KUDUS",BIDAN,Profesi,06
"UNIVERSITAS MUHAMMADIYAH KUDUS, KUDUS",KEBIDANAN,S1,06
"UNIVERSITAS MUHAMMADIYAH PURWOKERTO, PURWOKERTO",FARMASI,S2,06
"UNIVERSITAS MUHAMMADIYAH SAMPIT, KOTAWARINGIN TIMUR",KEBIDANAN,D-III,11
"UNIVERSITAS MUHAMMADIYAH SIDOARJO, SIDOARJO",KEBIDANAN,S1,07
"UNIVERSITAS MUHAMMADIYAH SIDOARJO, SIDOARJO",BIDAN,Profesi,07
"UNIVERSITAS SAFIN PATI, PATI",ADMINISTRASI RUMAH SAKIT,S1,06
"UNIVERSITAS TADULAKO, PALU",FARMASI,S1,PTN
Universitas Pancasila,Teknik Mesin,S3,03
"SEKOLAH TINGGI ILMU KESEHATAN MUHAMMADIYAH LHOKSEUMAWE, LHOKSEUMAWE",NERS,Profesi,13
